id,status,source,chars,attempts,last_attempt,note
3ebe96ab-b5a9-4ddf-99f0-9583e2226fb6,ok,wayback,5329,1,2026-09-01T11:40:49Z,http://web.archive.org/web/20260729235845id_/https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Engineering-Grad--Conversio
3ef6005a-dc19-43a2-ae36-e463222f6fa7,ok,wayback,3520,1,2026-09-04T11:19:58Z,http://web.archive.org/web/20260505225113id_/https://jobs.ashbyhq.com/blackbird-labs-inc/a901dd42-7c52-488a-bd55-f1d5dcd37b38/application
4040c08e-acb6-48dd-b6cd-43c4aede894c,ok,live,7211,1,2026-09-02T11:20:23Z,
40437c0f-7771-4ec0-aedd-aa6abd7ed518,error,,0,2,2026-09-05T10:37:01Z,http_429
40c1294a-a472-402c-882b-843d26a07449,ok,wayback,5220,1,2026-09-01T11:40:49Z,
4253e953-04fc-48f3-be58-728d5c241c3c,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
4316d3b6-dc12-4c25-bb13-4a917980b40b,error,,0,2,2026-09-05T10:37:01Z,http_429
439c65c1-64f2-461c-8ca1-ca36969ef10a,ok,live,2724,1,2026-08-31T13:53:47Z,
43e1a137-781f-49d7-bd75-baee92bb54bc,error,,0,2,2026-09-05T10:37:01Z,http_429
441050ea-b57f-4448-ae69-2a4a8646229f,ok,live,60000,1,2026-09-04T11:19:58Z,
443c0a68-63ca-4026-94b7-cf3e555f2d0f,ok,live,2972,1,2026-08-31T13:53:47Z,
446f16de-a70b-4c44-b1e7-7bd48429a95f,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_239c)
4474324d-fc29-44ab-ac6b-ad29c0babae6,ok,wayback,8549,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260610022217id_/https://jobs.ashbyhq.com/1password/8f8774dc-e400-48b1-8100-c6840b8eaed1/application
44dc6bbf-bf67-45ed-bd4f-36102982e97a,error,,0,2,2026-09-05T10:37:01Z,http_429
451d266b-c459-492a-b5c3-df553f98d6d5,ok,live,13801,1,2026-08-31T13:53:47Z,
452bd6d1-0b35-4f40-aa51-c0ae49420249,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
457ebe8d-73e3-4d0c-913d-22e495b1d6c8,error,,0,2,2026-09-05T10:37:01Z,http_429
45cb500e-6cea-48a1-941e-f33226a37036,ok,live,2738,1,2026-09-02T11:20:23Z,
462f2077-96ee-46b5-82ee-70c2d671d849,ok,live,5674,1,2026-09-01T11:40:49Z,
4770a4e3-28be-40d7-b5a2-700c0307960d,ok,live,60000,1,2026-09-02T11:20:23Z,
47cd8fb3-de26-4b09-8e8d-0a17a36ce0d6,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
47e93c35-6beb-41fc-bb7f-81c35722ff8d,error,,0,2,2026-09-05T10:37:01Z,http_429
47fe2157-ddd3-4233-87d7-cf96058a286d,ok,live,6145,1,2026-08-31T13:53:47Z,
480a3ec4-1b4b-4ee7-9901-ed9ea485c1c5,ok,live,3595,1,2026-08-31T13:53:47Z,
48327e8c-a8f7-4339-83a4-019ef774f663,ok,wayback,2133,1,2026-09-02T11:20:23Z,http://web.archive.org/web/20240226174724id_/https://www.citadel.com/careers/details/quantitative-research-analyst-intern-us/
483336e7-948a-4f0e-a61d-4151a29c78de,error,,0,2,2026-09-05T10:37:01Z,http_429
49a613fe-0291-4b1e-9d57-00c3a580dfe0,error,,0,2,2026-09-05T10:37:01Z,http_429
49ff5004-3fea-42cf-8ed9-f8ddb314058f,error,,0,3,2026-09-05T10:37:01Z,http_429
4b41cc6a-c7ca-4364-bf7c-41f6ca98409e,error,,0,3,2026-09-02T11:20:23Z,no source yielded text
4b968d7d-6734-4e0b-b21f-d1b8a7968640,ok,live,60000,1,2026-09-02T11:20:23Z,
4d9b0122-84e8-4c47-bba6-4f0bedc1b9dc,ok,live,4757,1,2026-09-05T10:37:01Z,
