id,status,chars,lines,attempts,last_attempt,note
6470fc04-154d-4d53-9a4c-9f69aaba3aaf,failed,0,44,1,2026-08-31T18:00:50Z,blocked (cookie/JS wall)
66058658-b81c-4603-b721-ad005299ed84,failed,0,5,1,2026-08-31T16:01:07Z,only_5_lines
661c72d1-3246-4a68-a747-e850c8abb675,failed,0,12,1,2026-08-31T18:00:50Z,only_12_lines
66357c67-5998-4524-8bd2-55280de56b1a,failed,0,819,1,2026-08-31T21:31:22Z,blocked (cookie/JS wall)
67a5f775-5448-46b2-9dad-a17c4c4584be,failed,0,30,1,2026-08-31T16:01:07Z,only_30_lines
68ceeffa-36f0-4cd6-9256-42fd6f4f016d,failed,0,4,1,2026-08-31T16:31:03Z,only_4_lines
6a053db8-23fb-4075-8cbb-7ed2328d5f43,ok,1629,55,1,2026-08-31T21:31:22Z,
6a849ae3-5b64-44ef-8bcc-a7bb32766d9f,failed,0,26,1,2026-08-31T16:01:07Z,only_26_lines
6a910274-8203-4361-9726-d22a315d1644,ok,8990,111,1,2026-08-31T13:31:31Z,
6c4405d5-c008-48ab-bb63-5f8f77ba0777,failed,0,4,1,2026-08-31T18:00:50Z,only_4_lines
6c56bd42-aaca-45b8-b770-128f543898e0,failed,0,4,1,2026-08-31T20:02:25Z,only_4_lines
6d7e83bd-6e67-4d8c-919e-862288b8b561,ok,10893,123,1,2026-08-31T15:00:57Z,
6ec40ca1-95e5-4505-aee1-11667fbe29f1,failed,0,30,1,2026-08-31T21:57:50Z,only_30_lines
6f017171-74b9-4619-a761-d93250479626,failed,0,46,1,2026-08-31T17:30:48Z,blocked (cookie/JS wall)
72197bee-e9b3-4978-88cd-1cc51ba6254c,failed,0,286,1,2026-08-31T18:00:50Z,blocked (cookie/JS wall)
7265b7f1-e86f-400a-acdc-ec06dc2c581a,failed,0,3,1,2026-08-31T19:33:25Z,only_3_lines
736ed5d6-63be-4dfa-b0d6-5eb9c5d4e663,ok,9425,133,1,2026-08-31T15:00:57Z,
74ba1fe3-ca71-4260-b251-29fa1d840279,failed,0,271,1,2026-08-31T20:30:49Z,blocked (cookie/JS wall)
7668d718-523e-431c-a2b3-b39a409c2dec,failed,0,10,1,2026-08-31T15:00:57Z,only_10_lines
79204fa0-81f5-4295-96d3-0a63bb614715,failed,0,4,1,2026-08-31T17:30:48Z,only_4_lines
7aa9448f-c028-4566-8078-45d402ca4ffe,ok,8754,111,1,2026-08-31T15:00:57Z,
7ac697b2-ff59-4660-990a-d4f53316f56c,failed,0,4,1,2026-08-31T19:01:00Z,only_4_lines
7b78baf6-f74f-4d7b-924f-a68d5e0e0dbf,failed,0,4,1,2026-08-31T14:00:46Z,only_4_lines
7c5ad96f-e7b8-4ad3-9e09-9da83e6659b0,failed,0,8,1,2026-08-31T16:31:03Z,only_8_lines
7d3756e8-9e17-44bb-b29f-751947fabf50,failed,0,9,1,2026-08-31T14:00:46Z,only_9_lines
7d880590-b150-42ab-810a-5e3b723e0a20,failed,0,11,1,2026-08-31T19:01:00Z,only_11_lines
7d8de26b-5da6-4e2a-9a17-d887bc8a61be,failed,0,24,1,2026-08-31T19:01:00Z,only_24_lines
80123cbc-f5c6-4a6e-95bd-f97fb3c9d32b,failed,0,4,1,2026-08-31T20:02:25Z,only_4_lines
80b3432f-f7a2-4886-bda6-698e860df082,failed,0,4,1,2026-08-31T16:31:03Z,only_4_lines
8183f0b3-f63a-4b40-a5f3-9b6811decada,failed,0,4,1,2026-08-31T15:30:57Z,only_4_lines
82220070-80c9-42ec-9a40-dc3d4aa5d2b8,failed,0,4,1,2026-08-31T18:31:00Z,only_4_lines
8274eda3-9ac6-4582-ae1a-b4f690d6737f,failed,0,10,1,2026-08-31T18:31:00Z,only_10_lines
836b272f-f58b-4472-83e7-09b03b198080,failed,0,22,1,2026-08-31T20:02:25Z,only_22_lines
837f275c-c314-436a-9c5b-9f8c18daa488,failed,0,8,1,2026-08-31T20:30:49Z,only_8_lines
83ed4d09-cf58-46d7-adcd-40fc0238f3a2,failed,0,181,1,2026-08-31T21:31:22Z,no posting-like text (6626c)
8429362a-1d03-4406-8ab4-86f7dd0754b2,failed,0,9,1,2026-08-31T17:30:48Z,only_9_lines
8446df16-f5f1-4fe4-9c20-44f6c0661737,failed,0,3,1,2026-08-31T21:57:50Z,only_3_lines
849495a9-c7c9-445b-95f4-0b6e90d82098,failed,0,5,1,2026-08-31T19:33:25Z,only_5_lines
8557ee50-9c1f-49e9-98b8-692547114b0a,failed,0,4,1,2026-08-31T17:09:24Z,only_4_lines
86288e49-34fb-4db7-af79-7b5fab0ef2d4,failed,0,15,1,2026-08-31T19:33:25Z,only_15_lines
86fd502f-db41-49cb-9e56-950a3241b65b,failed,0,4,1,2026-08-31T18:00:50Z,only_4_lines
87e1f406-2b57-4d98-9b4f-2b0c197085e3,failed,0,8,1,2026-08-31T21:31:22Z,only_8_lines
8b6ea404-0949-4cd3-a4e1-f77ec1d8cca0,failed,0,8,1,2026-08-31T14:31:04Z,only_8_lines
8c8cf5d2-f485-4d7e-b8b1-ce1caaf73d31,failed,0,4,1,2026-08-31T15:30:57Z,only_4_lines
8c9a6e98-5612-418c-9824-6303cda6f199,ok,11781,124,1,2026-09-01T05:39:09Z,
8cd6c68a-d1b7-4a16-9dc4-411fb9932fbb,failed,0,4,1,2026-08-31T16:01:07Z,only_4_lines
8ce746f2-4dd9-4c00-bfee-754334ef88ec,failed,0,3,1,2026-08-31T18:00:50Z,only_3_lines
8d8f9605-6605-4474-9a61-7960df14b4a0,failed,0,9,1,2026-08-31T17:09:24Z,only_9_lines
8e11b217-af00-44fb-88cd-cb241676e359,failed,0,12,1,2026-08-31T19:33:25Z,only_12_lines
8e9a164a-393f-4f52-8c16-a283cc796352,failed,0,4,1,2026-08-31T17:00:55Z,only_4_lines
8ec64e5f-4755-45a9-ae9e-abd13cd712b0,ok,7112,94,1,2026-08-31T19:33:25Z,
8ee2c108-7c86-4c94-b7bb-5667b48e3d3a,failed,0,990,1,2026-08-31T18:31:00Z,blocked (cookie/JS wall)
8febf19c-cdf5-437d-bf7b-f5d9d35987ea,failed,0,46,1,2026-08-31T17:30:48Z,blocked (cookie/JS wall)
90a6a21b-01c9-4a5a-8c1f-d58b67d00be8,failed,0,5,1,2026-08-31T19:01:00Z,only_5_lines
92837f3a-76ae-46c6-9a64-bf3ccc51ce73,failed,0,4,1,2026-08-31T21:57:50Z,only_4_lines
9331e02f-0627-4d19-a892-b69d6e3916d3,ok,13763,131,1,2026-09-01T05:39:09Z,
98224f6a-9244-4a2a-94e7-e9166181bd40,failed,0,5,1,2026-08-31T15:00:57Z,only_5_lines
